제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜대수,리콜사유,시정대수,시정율(퍼센트)
메르세데스벤츠코리아(주),E 200 KOMPRESSOR,2002-09-27,2006-03-17,2020-05-15,1282,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,849,66.22
메르세데스벤츠코리아(주),C 32 AMG,2002-02-27,2002-02-27,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),C 320,2002-03-28,2003-04-02,2020-05-15,17,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,14,82.35
메르세데스벤츠코리아(주),C 240,2000-07-17,2004-04-23,2020-05-15,146,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,100,68.49
메르세데스벤츠코리아(주),C 280,2006-07-27,2006-07-27,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1,100
메르세데스벤츠코리아(주),C 230,2005-09-13,2007-02-28,2020-05-15,343,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,233,67.93
메르세데스벤츠코리아(주),C 180 KOMPRESSOR,2002-06-11,2006-04-27,2020-05-15,558,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,388,69.53
메르세데스벤츠코리아(주),C 200 KOMPRESSOR,2000-06-09,2002-05-07,2020-05-15,344,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,259,75.29
메르세데스벤츠코리아(주),C 200 KOMPRESSOR,2002-06-17,2005-07-06,2020-05-15,694,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,496,71.47
메르세데스벤츠코리아(주),C 230 KOMPRESSOR,2003-05-27,2005-06-03,2020-05-15,31,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,20,64.52
메르세데스벤츠코리아(주),C 180,2001-04-04,2002-05-15,2020-05-15,121,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,85,70.25
메르세데스벤츠코리아(주),C 220 CDI,2005-01-10,2005-01-10,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1,100
메르세데스벤츠코리아(주),E 500,2002-04-24,2005-10-04,2020-05-15,24,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,7,29.17
메르세데스벤츠코리아(주),E 550,2007-02-02,2007-02-02,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),E 55 AMG,2002-09-26,2004-11-09,2020-05-15,11,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1,9.09
메르세데스벤츠코리아(주),E 320 4MATIC,2004-03-24,2004-11-17,2020-05-15,3,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,2,66.67
메르세데스벤츠코리아(주),E 500 4MATIC,2004-02-19,2004-02-19,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1,100
메르세데스벤츠코리아(주),E 350 4MATIC,2005-04-22,2008-05-28,2020-05-15,11,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,9,81.82
메르세데스벤츠코리아(주),E 280 4MATIC,2007-05-22,2007-05-22,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1,100
메르세데스벤츠코리아(주),E 350,2006-07-26,2006-07-26,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),E 320,2003-03-19,2003-09-01,2020-05-15,2,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1,50
메르세데스벤츠코리아(주),CLS 350,2004-10-22,2010-07-14,2020-05-15,1927,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,1111,57.65
메르세데스벤츠코리아(주),CLS 350 CGI,2008-02-07,2008-02-07,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),CLS 550,2006-07-14,2007-12-10,2020-05-15,6,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,5,83.33
메르세데스벤츠코리아(주),CLS 500,2004-09-22,2006-01-09,2020-05-15,10,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,2,20
메르세데스벤츠코리아(주),CLS 55 AMG,2004-12-08,2006-02-28,2020-05-15,35,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,15,42.86
메르세데스벤츠코리아(주),CLS 63 AMG,2006-07-26,2008-12-11,2020-05-15,110,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,71,64.55
메르세데스벤츠코리아(주),C 240 4MATIC,2003-03-27,2004-07-28,2020-05-15,2,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),C 320 4MATIC,2003-04-29,2005-02-16,2020-05-15,15,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,9,60
메르세데스벤츠코리아(주),C 280 4MATIC,2006-10-20,2006-11-13,2020-05-15,2,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,2,100
메르세데스벤츠코리아(주),C 200 KOMPRESSOR,2001-06-13,2001-06-13,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),CLK 350,2005-06-07,2006-02-20,2020-05-15,26,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,12,46.15
메르세데스벤츠코리아(주),CLK 240,2002-01-15,2003-10-27,2020-05-15,34,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,18,52.94
메르세데스벤츠코리아(주),CLK 320,2002-01-22,2005-05-02,2020-05-15,63,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,39,61.9
메르세데스벤츠코리아(주),CLK 500,2002-05-30,2002-05-30,2020-05-15,1,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,0,
메르세데스벤츠코리아(주),E 220 CDI,2005-02-25,2005-10-25,2020-05-15,40,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,31,77.5
메르세데스벤츠코리아(주),E 220 CDI,2007-03-15,2009-01-19,2020-05-15,278,공급업체가 특정 생산 기간 동안 프라이머(접착제) 도포 후 충분히 건조하지 않은 상태로 유리 패널을 부착하였습니다. 접합부의 접착력은 시간이 지남에 따라 점차적으로 약화될 수 있습니다.,210,75.54
현대자동차(주),GV80(JX1),2019-12-31,2020-04-06,2020-04-20,3247,고속도로 주행 보조2(HDA2) 기능 작동 중 제어기 통신 불량 감지 시 차로 변경 보조(LCA) 고장 경고 문구가 표출되지 않음,3219,99.14
만트럭버스코리아(주),Lion’s City CNG,2016-09-27,2018-08-31,2020-02-07,93,가스 압력 조절기 바디의 제조 공정상 불순물 함유로 인해 재질의 강도가 부족하고 바디 나사산 가공이 부적정하게 제조되어 운행 중 진동 등에 의해 완충용 저장소(Additional Volume) 체결부위에 균열이 발생할 수 있습니다.,93,100
포르쉐코리아 주식회사,911,2019-02-26,2019-12-05,2019-12-24,397,"소프트웨어 오류로 인해, 운전자가 차량 안에서 안전벨트를 하지 않고 시동 키를 off 상태로 90초가 지난 후 비상등 스위치를 작동시켰을 때 비상등이 점등되지 않는 것이 발견되었습니다. 이는 FMVSS 108불만족 사항이며, 이는 안전기준 제45조 비상점멸표시등 제2항에 불만족 사항입니다. ※ 본 모델은 한국내 미 출시된 차량으로 PDI에서 리콜 작업 (소프트웨어 업데이트)가 진행될 예정이며 시정조치 후 판매할 예정입니다",397,100
쌍용자동차(주),체어맨,2001-11-01,2011-05-30,2020-04-21,18465,"주/정차상태에서 조향핸들 잠김을 풀기 위하여 반복적으로 열쇠와 핸들을 동시에 회전시킬 때, 일부 차량에서 열쇠 잠금장치 내부 부품의 파손으로 인해 조향핸들이 잠길 가능성 있음.",11833,64.08
비엠더블유코리아(주),G 310 R,2017-02-18,2017-03-03,2017-06-29,53,"브레이크 장치 및 핸들을 고정하는 볼트가 조립과정에서 규정된 기준보다 약하게 체결되어 볼트가 풀릴 수 있으며, 볼트가 풀릴 경우 제동력이 저하되고 운전자가 의도한대로 방향제어가 안될 가능성",51,96.23
현대자동차(주),i30(GD),2012-01-04,2015-04-30,2017-06-30,17526,브레이크 진공호스의 결함으로 제동력이 저하 될 가능성,15191,86.68
현대자동차(주),아반떼(MD),2013-08-06,2015-05-27,2017-06-30,19575,브레이크 진공호스의 결함으로 제동력이 저하 될 가능성,16513,84.36
한국지엠(주),트랙스,2012-11-02,2013-02-28,2015-04-10,1448,운전석 및 조수석 시트에 탑승자 하반신 고정을 강화하는 랩 벨트프리텐셔너가 장착된 차량이 충돌 사고 시 시트 벨트 풀림이 발생할 가능성이 있음,1410,97.38
(주) 한국모터트레이딩,MT09TRA,2014-09-16,2014-10-01,2015-04-15,32,쉬프트샤프트 스토퍼 부분의 가공 불량으로 인하여 지속적인 충격이 가해질 경우 스토퍼가 파손되어 기능을 하지 못할 경우 주행중 기어 변속이 되지 않아 안전운행에 지장 줄 가능성,32,100
(주) 한국모터트레이딩,XT1200ZE,2014-11-17,2014-11-17,2015-04-15,1,쉬프트샤프트 스토퍼 부분의 가공 불량으로 인하여 지속적인 충격이 가해질 경우 스토퍼가 파손되어 기능을 하지 못할 경우 주행중 기어 변속이 되지 않아 안전운행에 지장 줄 가능성,1,100
(주) 한국모터트레이딩,YZF-R6,2014-11-17,2014-11-17,2015-04-15,2,쉬프트샤프트 스토퍼 부분의 가공 불량으로 인하여 지속적인 충격이 가해질 경우 스토퍼가 파손되어 기능을 하지 못할 경우 주행중 기어 변속이 되지 않아 안전운행에 지장 줄 가능성,2,100
(주) 한국모터트레이딩,MT09A,2014-09-24,2014-10-30,2015-04-15,45,쉬프트샤프트 스토퍼 부분의 가공 불량으로 인하여 지속적인 충격이 가해질 경우 스토퍼가 파손되어 기능을 하지 못할 경우 주행중 기어 변속이 되지 않아 안전운행에 지장 줄 가능성,45,100
(주) 한국모터트레이딩,YZF-R1,2014-10-20,2014-10-20,2015-04-15,4,쉬프트샤프트 스토퍼 부분의 가공 불량으로 인하여 지속적인 충격이 가해질 경우 스토퍼가 파손되어 기능을 하지 못할 경우 주행중 기어 변속이 되지 않아 안전운행에 지장 줄 가능성,4,100
한불모터스(주),푸조 308SW 2.0 HDI,2014-04-09,2014-11-28,2015-04-17,35,프론트 서스펜션 위시본 마운팅 볼트의 결함으로 인하여 볼트가 파손되어 소음 및 조향성능 저하 우려,35,100
한불모터스(주),푸조 308 2.0 HDI,2014-03-24,2014-12-02,2015-04-17,77,프론트 서스펜션 위시본 마운팅 볼트의 결함으로 인하여 볼트가 파손되어 소음 및 조향성능 저하 우려,77,100
한불모터스(주),시트로엥 Grand C4 Picasso 2.0 Blue-HDI,2014-03-12,2014-11-13,2015-04-17,90,프론트 서스펜션 위시본 마운팅 볼트의 결함으로 인하여 볼트가 파손되어 소음 및 조향성능 저하 우려,90,100
한불모터스(주),시트로엥 C4 Picasso 2.0 Blue-HDI,2014-06-18,2014-11-14,2015-04-17,75,프론트 서스펜션 위시본 마운팅 볼트의 결함으로 인하여 볼트가 파손되어 소음 및 조향성능 저하 우려,75,100
메르세데스벤츠코리아(주),Mercedes-AMG GT 63 S 4MATIC+,2020-08-27,2020-10-26,2021-06-11,6,개발 과정 편차로 인하여 주차 보조(Parktronic) 시스템 컨트롤 유닛 소프트웨어가 사양에 맞지 않을 수 있습니다. 주차보조시스템은 차량 후진 시에는 OFF버튼이 활성화 되지 않아야 합니다. 하지만 주차보조 시스템 컨트롤 유닛 소프트웨어가 사양에 맞지 않아 차량 후진 시 운전자가 버튼을 눌러 주차 보조 시스템이 OFF될 수 있습니다.,6,100
메르세데스벤츠코리아(주),C 200,2020-11-30,2020-11-30,2021-06-11,1,개발 과정 편차로 인하여 주차 보조(Parktronic) 시스템 컨트롤 유닛 소프트웨어가 사양에 맞지 않을 수 있습니다. 주차보조시스템은 차량 후진 시에는 OFF버튼이 활성화 되지 않아야 합니다. 하지만 주차보조 시스템 컨트롤 유닛 소프트웨어가 사양에 맞지 않아 차량 후진 시 운전자가 버튼을 눌러 주차 보조 시스템이 OFF될 수 있습니다.,1,100
메르세데스벤츠코리아(주),A 220,2020-09-26,2020-10-01,2021-06-11,2,개발 과정 편차로 인하여 주차 보조(Parktronic) 시스템 컨트롤 유닛 소프트웨어가 사양에 맞지 않을 수 있습니다. 주차보조시스템은 차량 후진 시에는 OFF버튼이 활성화 되지 않아야 합니다. 하지만 주차보조 시스템 컨트롤 유닛 소프트웨어가 사양에 맞지 않아 차량 후진 시 운전자가 버튼을 눌러 주차 보조 시스템이 OFF될 수 있습니다.,2,100
한불모터스(주),DS3 Crossback 1.5 BlueHDi,2019-01-24,2020-01-17,2020-03-09,78,"DS3 Crossback 1.5 BlueHDi 차량의 2열 좌석 안전띠 미장착 경고 장치 시험 시 2열 좌석의 탑승자가 안전띠를 미착용 했을 경우, 운전자에게 이를 인지하게 해주는 시 , 청각적 경고가 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제27조 제4항에서 정하는 기준에 부적합한 것으로 확인 되었습니다.",78,100
한불모터스(주),DS3 Crossback 1.5 BlueHDi,2020-08-27,2020-08-27,2020-11-17,1,차량 제작 과정에서 좌측 주간 주행등의 커넥터 핀이 불량한 상태로 차량에 장착되어 있을 가능성이 있어 좌측 주간 주행등이 작동하지 않을 수 있습니다. 이는 [자동차 및 자동차부품의 성능과 기준에 관한 규칙]제38조의 4에서 정하고 있는 기준에 부적합 합니다.,1,100
(주)에이비케이,TUONO V4 1100,2017-01-17,2018-05-10,2020-08-21,8,브레이크 패드가 부식을 유발할 수 있는 외부환경에 노출될 경우 브레이크 패드의마찰재와 브레이크 패드 백 플레이간 부식이 발생하여 브레이크 패드의 마찰재가 브레이크 패드의 백 플레이트로부터 이탈될 가능성이 있음.,1,12.5
(주)에이비케이,RSV4 1000,2017-04-05,2018-06-04,2020-08-21,75,브레이크 패드가 부식을 유발할 수 있는 외부환경에 노출될 경우 브레이크 패드의마찰재와 브레이크 패드 백 플레이간 부식이 발생하여 브레이크 패드의 마찰재가 브레이크 패드의 백 플레이트로부터 이탈될 가능성이 있음.,8,10.67
현대자동차(주),코나(OS) EV,2018-05-15,2020-01-31,2021-10-15,126,현대자동차(주)에서는 LG에너지솔루션(주) 중국(남경) 공장에서 생산된 일부 배터리셀의 제조불량으로 배터리셀 내부 단락(합선)으로 차량 화재 발생 가능성,112,88.89
비엠더블유코리아(주),BMW iX xDrive50,2020-10-19,2021-09-22,2021-11-12,28,"BMW 자체 품질 조사 결과 2020년 10월 19일부터 2021년 09월 22일까지 제작된 BMW iX xDrive40, iX xDrive50 차량 총 197대에서 테일게이트(트렁크) 컨트롤유닛 소프트웨어와 관련된 결함을 확인하였습니다. 테일게이트가 위로 열려있는 상황에서 겨울철 눈 쌓임 등, 테일게이트에 가해지는 외력이 특정값 이상으로 높아질 경우 자동으로 테일게이트가 닫 히도록 프로그래밍 되어있습니다. 이때 테일게이트(전동트렁크)가 닫히게 되는 외력의 설정값이 너무 낮게 설정되어 있습니다.",28,100
비엠더블유코리아(주),BMW iX xDrive40,2021-08-02,2021-09-22,2021-11-12,169,"BMW 자체 품질 조사 결과 2020년 10월 19일부터 2021년 09월 22일까지 제작된 BMW iX xDrive40, iX xDrive50 차량 총 197대에서 테일게이트(트렁크) 컨트롤유닛 소프트웨어와 관련된 결함을 확인하였습니다. 테일게이트가 위로 열려있는 상황에서 겨울철 눈 쌓임 등, 테일게이트에 가해지는 외력이 특정값 이상으로 높아질 경우 자동으로 테일게이트가 닫 히도록 프로그래밍 되어있습니다. 이때 테일게이트(전동트렁크)가 닫히게 되는 외력의 설정값이 너무 낮게 설정되어 있습니다.",169,100
(주) 한국모터트레이딩,MTN320A,2020-06-10,2020-10-27,2021-11-15,840,※ 측면보조반사기 반사성능 (자동차 및 자동차 부품의 성능 및 기준에 관한 규칙 제80조 관련)이 규정을 만족하지 않을 수 있음이 발견됨에 따른 리콜. * 대상차량별 생산일자 1. CZD300-A 2017 년4 월 03 일~2020년09월17일 2. GPD125A 2015 년9 월 15 일~2020년10월31일 3. YZF320A 2019 년4 월 05 일~2020년8월28일 4. MTN320A 2020 년6 월 10 일~2020년10월27일,528,62.86
(주) 한국모터트레이딩,YZF320A,2019-04-05,2020-08-28,2021-11-15,2600,※ 측면보조반사기 반사성능 (자동차 및 자동차 부품의 성능 및 기준에 관한 규칙 제80조 관련)이 규정을 만족하지 않을 수 있음이 발견됨에 따른 리콜. * 대상차량별 생산일자 1. CZD300-A 2017 년4 월 03 일~2020년09월17일 2. GPD125A 2015 년9 월 15 일~2020년10월31일 3. YZF320A 2019 년4 월 05 일~2020년8월28일 4. MTN320A 2020 년6 월 10 일~2020년10월27일,1381,53.12
(주) 한국모터트레이딩,GPD125A,2015-09-15,2020-10-31,2021-11-15,21284,※ 측면보조반사기 반사성능 (자동차 및 자동차 부품의 성능 및 기준에 관한 규칙 제80조 관련)이 규정을 만족하지 않을 수 있음이 발견됨에 따른 리콜. * 대상차량별 생산일자 1. CZD300-A 2017 년4 월 03 일~2020년09월17일 2. GPD125A 2015 년9 월 15 일~2020년10월31일 3. YZF320A 2019 년4 월 05 일~2020년8월28일 4. MTN320A 2020 년6 월 10 일~2020년10월27일,7143,33.56
(주) 한국모터트레이딩,CZD300-A,2017-04-03,2020-09-17,2021-11-15,6393,※ 측면보조반사기 반사성능 (자동차 및 자동차 부품의 성능 및 기준에 관한 규칙 제80조 관련)이 규정을 만족하지 않을 수 있음이 발견됨에 따른 리콜. * 대상차량별 생산일자 1. CZD300-A 2017 년4 월 03 일~2020년09월17일 2. GPD125A 2015 년9 월 15 일~2020년10월31일 3. YZF320A 2019 년4 월 05 일~2020년8월28일 4. MTN320A 2020 년6 월 10 일~2020년10월27일,1628,25.47
(주)재규어랜드로버코리아,레인지로버 스포츠 3.0D,2010-08-24,2011-03-28,2021-06-18,139,레인지로버 스포츠 차량 일부 모델의 리어 스포일러 제조공정과정 중 접착 오류로 인해 리어 스포일러 외측커버와 하부 몰딩 사이 접착면이 떨어져 나감,79,56.83
(주)재규어랜드로버코리아,레인지로버 스포츠 5.0 SC,2010-08-23,2010-12-16,2021-06-18,20,레인지로버 스포츠 차량 일부 모델의 리어 스포일러 제조공정과정 중 접착 오류로 인해 리어 스포일러 외측커버와 하부 몰딩 사이 접착면이 떨어져 나감,20,100
(주)재규어랜드로버코리아,레인지로버 스포츠 5.0 SC,2010-04-23,2010-07-19,2021-06-18,12,레인지로버 스포츠 차량 일부 모델의 리어 스포일러 제조공정과정 중 접착 오류로 인해 리어 스포일러 외측커버와 하부 몰딩 사이 접착면이 떨어져 나감,12,100
(주)재규어랜드로버코리아,레인지로버 스포츠 5.0,2009-05-07,2010-06-21,2021-06-18,19,레인지로버 스포츠 차량 일부 모델의 리어 스포일러 제조공정과정 중 접착 오류로 인해 리어 스포일러 외측커버와 하부 몰딩 사이 접착면이 떨어져 나감,19,100
(주)재규어랜드로버코리아,레인지로버 스포츠 3.0D,2009-04-27,2010-07-21,2021-06-18,130,레인지로버 스포츠 차량 일부 모델의 리어 스포일러 제조공정과정 중 접착 오류로 인해 리어 스포일러 외측커버와 하부 몰딩 사이 접착면이 떨어져 나감,66,50.77
폭스바겐그룹코리아 주식회사,S8 TFSI qu.,2014-04-17,2015-09-23,2020-09-15,120,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",96,80
폭스바겐그룹코리아 주식회사,S8 Plus TFSI qu.,2016-01-29,2016-04-05,2020-09-15,22,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",19,86.36
폭스바겐그룹코리아 주식회사,S8 4.0 TFSI qu.,2012-06-30,2014-02-12,2020-09-15,157,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",122,77.71
폭스바겐그룹코리아 주식회사,A8 65 TFSI qu.,2015-07-13,2016-04-08,2020-09-15,10,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",10,100
폭스바겐그룹코리아 주식회사,A8 4.0 TFSI LWB qu.,2012-07-17,2014-03-13,2020-09-15,396,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",307,77.53
폭스바겐그룹코리아 주식회사,A8 60 TFSI LWB qu.,2014-03-13,2015-05-20,2020-09-15,240,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",215,89.58
폭스바겐그룹코리아 주식회사,A8 65 TFSI LWB qu.,2015-07-01,2015-10-22,2020-09-15,36,"특정 기간 동안 생산된 차량 중, 엔진룸 밀봉을 위해 장착된 씰(밀봉고무재)이 엔진룸에서 발생하는 고온으로 인하여 변형될 가능성이 있습니다. 이로 인해, 사용 기간 중 고정력이 약화되어, 씰이 느슨해지거나 고정 위치에서 이탈 될 수 있습니다",28,77.78
